resume_text,category
"Python developer with experience building REST APIs using Flask, Django, SQL, Docker, CI/CD pipelines, unit testing, and AWS deployment.",Software Engineer
"Backend engineer skilled in Python, FastAPI, PostgreSQL, Redis, cloud services, API design, microservices, and automated testing.",Software Engineer
"Full stack developer using React, TypeScript, Node.js, Python, relational databases, Docker, and agile product delivery.",Software Engineer
"Software engineer experienced in Java, Spring Boot, distributed systems, REST services, Kubernetes, and production monitoring.",Software Engineer
"Data scientist with machine learning, Python, pandas, scikit-learn, NLP, model evaluation, feature engineering, and predictive analytics experience.",Data Scientist
"Machine learning engineer focused on classification, regression, model tuning, TensorFlow, scikit-learn, experiment tracking, and data pipelines.",Data Scientist
"Analytics specialist using Python, SQL, statistics, A/B testing, dashboards, forecasting, and data visualization to guide business decisions.",Data Scientist
"NLP researcher with TF-IDF, embeddings, text classification, model validation, topic modeling, and information extraction experience.",Data Scientist
"Human resources coordinator skilled in recruitment, onboarding, employee relations, payroll support, HRIS systems, compliance, and policy documentation.",Human Resources
"HR specialist experienced in talent acquisition, resume screening, benefits administration, employee engagement, interview scheduling, and workplace compliance.",Human Resources
"Recruiter with background in sourcing candidates, applicant tracking systems, interview coordination, compensation discussions, and offer management.",Human Resources
"People operations associate managing onboarding workflows, employee records, training programs, internal communication, and HR reporting.",Human Resources
"Digital marketing manager with SEO, Google Ads, campaign analytics, content strategy, social media, conversion optimization, and email marketing.",Marketing
"Marketing specialist experienced in brand campaigns, market research, CRM segmentation, copywriting, paid search, reporting, and lead generation.",Marketing
"Growth marketer skilled in performance marketing, landing page optimization, attribution analysis, lifecycle campaigns, and customer acquisition.",Marketing
"Content strategist with experience in editorial calendars, keyword research, social analytics, product messaging, newsletters, and campaign planning.",Marketing
"Financial analyst with Excel modeling, budgeting, forecasting, variance analysis, financial reporting, Power BI, and stakeholder presentations.",Finance
"Accounting associate experienced in reconciliations, accounts payable, accounts receivable, general ledger, month-end close, and audit support.",Finance
"Finance manager skilled in cash flow analysis, business planning, cost controls, risk assessment, financial statements, and executive reporting.",Finance
"Investment analyst with valuation modeling, market research, portfolio analysis, due diligence, financial ratios, and investment memo writing.",Finance
